entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Jobs,0.8587,0.7450,0.7085,0.7901,0.8613,0.9257,0.9438,1.0000,0.9352,0.8133,0.9351,0.9468,0.9266,0.8506,0.9145,0.9533
taxes,0.5327,0.7650,0.7545,0.5649,0.7998,0.6390,0.7363,0.6637,0.7595,0.6179,0.6617,0.6036,0.4995,0.5786,0.9276,0.7603
Education,0.4291,0.3877,0.3626,0.3086,0.2968,0.3400,0.3212,0.2601,0.2339,0.2055,0.2074,0.2154,0.1855,0.1927,0.1847,0.1573
war,0.4046,0.3549,0.2979,0.2597,0.2166,0.2420,0.2132,0.1841,0.1842,0.1859,0.1661,0.2032,0.1734,0.2044,0.1871,0.2142
Canada,0.3105,0.2587,0.2294,0.2046,0.2097,0.2001,0.2202,0.1445,0.1265,0.1197,0.1273,0.1383,0.1436,0.1392,0.1333,0.1270
Mortgage Loan,0.2835,0.2308,0.2158,0.2182,0.3286,0.2679,0.1655,0.1465,0.1630,0.1296,0.1162,0.1398,0.1004,0.1147,0.1284,0.0963
India,0.2571,0.2234,0.2134,0.1935,0.1952,0.1988,0.1798,0.1597,0.1765,0.1582,0.1506,0.2552,0.1538,0.1555,0.1383,0.1414
Mexico,0.2257,0.2152,0.2226,0.2072,0.2157,0.2463,0.2825,0.1861,0.1863,0.1744,0.2042,0.1883,0.2019,0.2207,0.2205,0.3226
Japan,0.1955,0.1866,0.1584,0.1530,0.1284,0.1342,0.1194,0.0980,0.1033,0.1082,0.1074,0.1302,0.1116,0.1197,0.1097,0.1237
IRS,0.1739,0.3112,0.3423,0.2064,0.2834,0.2846,0.2716,0.3240,0.3272,0.4389,0.1996,0.1760,0.1037,0.2215,0.2746,0.0000
China,0.1706,0.1723,0.1658,0.1398,0.1459,0.1349,0.1350,0.1333,0.1122,0.1010,0.1051,0.1086,0.1090,0.1140,0.1073,0.1278
France,0.1647,0.1647,0.1534,0.1049,0.1042,0.1060,0.1066,0.0895,0.0849,0.0753,0.0765,0.0860,0.0745,0.0853,0.0791,0.0760
Manufacturing,0.1600,0.1268,0.1073,0.0878,0.0877,0.0764,0.0767,0.0646,0.0643,0.0558,0.0582,0.0545,0.0533,0.0581,0.0543,0.0452
Europe,0.1562,0.1540,0.1372,0.1142,0.1070,0.1020,0.0957,0.0837,0.0766,0.0799,0.0767,0.0875,0.0806,0.0825,0.0812,0.0816
Italy,0.1502,0.1585,0.1422,0.0990,0.1004,0.0837,0.0876,0.0953,0.0861,0.0700,0.0641,0.0680,0.0691,0.0708,0.0825,0.0720
drugs,0.1444,0.1375,0.1211,0.1154,0.1049,0.1248,0.1047,0.1450,0.1242,0.1203,0.1298,0.1223,0.1415,0.1315,0.1348,0.1575
Africa,0.1444,0.1272,0.1310,0.1104,0.1059,0.1023,0.1035,0.0803,0.0810,0.0798,0.0751,0.0815,0.0728,0.0861,0.0879,0.0838
Health Care,0.1371,0.1205,0.1058,0.1199,0.1207,0.1231,0.1384,0.1245,0.1086,0.1035,0.1129,0.1172,0.1100,0.1107,0.1284,0.0805
Germany,0.1371,0.1451,0.1131,0.0948,0.0877,0.0881,0.0955,0.0707,0.0734,0.0768,0.0665,0.0760,0.0799,0.0784,0.0744,0.0736
Armed Forces,0.1338,0.1241,0.1208,0.1220,0.1133,0.1167,0.1254,0.1152,0.1125,0.1134,0.1082,0.1035,0.1092,0.1108,0.1098,0.1417
Military,0.1338,0.1241,0.1208,0.1220,0.1133,0.1167,0.1254,0.1152,0.1125,0.1134,0.1082,0.1035,0.1092,0.1108,0.1098,0.1417
Oil,0.1260,0.1585,0.1569,0.1387,0.1502,0.1637,0.1455,0.1820,0.1983,0.2079,0.2512,0.2938,0.3216,0.3138,0.3448,0.3628
NASA,0.1246,0.0460,0.0472,0.0344,0.0447,0.0424,0.0342,0.0432,0.0288,0.0237,0.0220,0.0382,0.0315,0.0313,0.0823,0.0221
trade,0.1227,0.1058,0.0900,0.0888,0.1016,0.1052,0.0962,0.0925,0.0864,0.0824,0.0823,0.0916,0.0854,0.0900,0.0950,0.0985
Democrats,0.1174,0.0420,0.0501,0.0472,0.0826,0.0235,0.0258,0.0202,0.0324,0.0199,0.0227,0.0213,0.0339,0.0977,0.0886,0.4562
Asia,0.1161,0.1223,0.1079,0.1006,0.0810,0.0794,0.0642,0.0710,0.0685,0.0685,0.0709,0.0827,0.0638,0.0591,0.0555,0.0573
energy,0.1115,0.1139,0.1367,0.1180,0.1354,0.1632,0.1519,0.1481,0.1412,0.1385,0.1325,0.1413,0.1395,0.1472,0.1481,0.1457
Crime,0.1076,0.1129,0.1020,0.1021,0.0970,0.1043,0.0957,0.0959,0.0910,0.0941,0.0900,0.0908,0.0918,0.1167,0.1024,0.1814
Spain,0.1049,0.1031,0.0844,0.0801,0.0702,0.0866,0.0877,0.0564,0.0565,0.0548,0.0472,0.0541,0.0493,0.0568,0.0579,0.0552
Iraq,0.0990,0.1549,0.0888,0.1145,0.0734,0.0481,0.0345,0.0314,0.0294,0.0179,0.0178,0.0227,0.0177,0.0163,0.0137,0.0142
Russia,0.0938,0.0946,0.0988,0.0785,0.0620,0.0605,0.0623,0.0605,0.0504,0.0514,0.0688,0.0703,0.0671,0.0754,0.0821,0.0802
Prison,0.0931,0.0951,0.0894,0.0994,0.1084,0.1289,0.1315,0.1545,0.1589,0.1687,0.1806,0.1777,0.2021,0.2188,0.2127,0.2767
Social Security,0.0892,0.1219,0.0797,0.0823,0.0809,0.0689,0.0582,0.0703,0.0734,0.0674,0.0761,0.0768,0.0702,0.0687,0.0829,0.0409
Congress,0.0892,0.0710,0.0604,0.0591,0.0481,0.1135,0.0535,0.0578,0.0562,0.0507,0.0545,0.0448,0.0403,0.2713,0.0652,0.0000
Brazil,0.0794,0.0839,0.0818,0.0711,0.0930,0.1661,0.1850,0.0604,0.0585,0.0633,0.0612,0.0579,0.0508,0.0404,0.0386,0.0359
immigration,0.0793,0.0857,0.0777,0.0827,0.0763,0.0597,0.0558,0.0565,0.0558,0.0636,0.0732,0.0570,0.0545,0.1420,0.1156,0.1081
Constitution,0.0761,0.0553,0.0566,0.0498,0.0448,0.0478,0.0524,0.0449,0.0429,0.0388,0.0395,0.0396,0.0436,0.0359,0.0409,0.0000
Health Insurance,0.0721,0.0611,0.0533,0.0601,0.0530,0.0530,0.0489,0.0439,0.0401,0.0379,0.0466,0.0530,0.0494,0.0439,0.0543,0.0339
Marines,0.0676,0.0661,0.0592,0.0608,0.0590,0.0609,0.0587,0.0577,0.0477,0.0507,0.0434,0.0480,0.0377,0.0381,0.0400,0.0391
Israelis,0.0676,0.0482,0.0665,0.0483,0.0424,0.0418,0.0418,0.0341,0.0355,0.0305,0.0328,0.0405,0.0355,0.0353,0.0367,0.0535
United States Army,0.0675,0.0638,0.0662,0.0557,0.0500,0.0558,0.0591,0.0562,0.0431,0.0401,0.0391,0.0381,0.0289,0.0261,0.0280,0.0246
unemployment,0.0656,0.0545,0.0565,0.0552,0.0734,0.1599,0.1499,0.1591,0.1564,0.0995,0.1695,0.0972,0.0807,0.0582,0.0838,0.0880
economy,0.0649,0.0696,0.0612,0.0496,0.0919,0.1081,0.0569,0.0526,0.0532,0.0512,0.0486,0.0594,0.0578,0.0583,0.0609,0.0794
HIV,0.0616,0.0495,0.0492,0.0369,0.0392,0.0392,0.0277,0.0247,0.0240,0.0222,0.0221,0.0191,0.0205,0.0193,0.0174,0.0397
AIDS,0.0616,0.0495,0.0492,0.0369,0.0392,0.0392,0.0277,0.0247,0.0240,0.0222,0.0221,0.0191,0.0205,0.0193,0.0174,0.0000
Budget,0.0590,0.0544,0.0530,0.0449,0.0448,0.0652,0.0506,0.0557,0.0422,0.0358,0.0405,0.0426,0.0433,0.0558,0.0434,0.0000
Republicans,0.0577,0.0348,0.0384,0.0310,0.0839,0.0478,0.0727,0.0570,0.1119,0.0521,0.0773,0.0727,0.0854,0.0560,0.0868,0.1180
Abortion,0.0564,0.0522,0.0530,0.0367,0.0375,0.0415,0.0333,0.0385,0.0399,0.0330,0.0322,0.0294,0.0253,0.0291,0.0327,0.2937
PATRIOT Act,0.0558,0.0076,0.0287,0.0048,0.0075,0.0024,0.0023,0.0034,0.0022,0.0020,0.0023,0.0015,0.0013,0.0015,0.0013,0.0011
Philippines,0.0525,0.0415,0.0545,0.0426,0.0540,0.0539,0.0494,0.0434,0.0443,0.0394,0.0481,0.0449,0.0463,0.0425,0.0458,0.0459
Income tax,0.0525,0.0728,0.0645,0.0451,0.0608,0.0437,0.0505,0.0482,0.0485,0.0424,0.0418,0.0351,0.0287,0.0302,0.0439,0.0301
Egypt,0.0512,0.0509,0.0442,0.0295,0.0373,0.0374,0.0864,0.0752,0.0338,0.0239,0.0280,0.0329,0.0280,0.0247,0.0320,0.0221
Senate,0.0485,0.0486,0.0434,0.0420,0.0295,0.0377,0.0412,0.0213,0.0230,0.0247,0.0208,0.0229,0.0202,0.0247,0.0246,0.0716
recovery.gov,0.0466,0.0424,0.0700,0.0593,0.0643,0.0680,0.0765,0.0839,0.0739,0.0683,0.0635,0.0494,0.0324,0.0325,0.0398,0.0000
Department of Defense,0.0439,0.0384,0.0434,0.0388,0.0301,0.0301,0.0282,0.0240,0.0243,0.0203,0.0177,0.0173,0.0130,0.0189,0.0153,0.0169
Colombia,0.0439,0.0388,0.0352,0.0289,0.0373,0.0683,0.1069,0.0316,0.0274,0.0310,0.0338,0.0360,0.0378,0.0356,0.0378,0.0375
Federal Government,0.0426,0.0388,0.0313,0.0285,0.0248,0.0273,0.0187,0.0360,0.0165,0.0176,0.0214,0.0180,0.0170,0.0144,0.0153,0.0178
Chile,0.0420,0.0308,0.0355,0.0230,0.0278,0.0405,0.0569,0.0245,0.0197,0.0178,0.0188,0.0190,0.0189,0.0182,0.0174,0.0151
Peru,0.0413,0.0335,0.0311,0.0415,0.0364,0.0529,0.0738,0.0278,0.0272,0.0262,0.0253,0.0285,0.0245,0.0242,0.0247,0.0217
Islam,0.0413,0.0433,0.0431,0.0259,0.0259,0.0320,0.0304,0.0236,0.0237,0.0215,0.0217,0.0405,0.0279,0.0257,0.0204,0.0203
Cuba,0.0400,0.0335,0.0316,0.0314,0.0258,0.0300,0.0260,0.0252,0.0262,0.0236,0.0252,0.0597,0.0349,0.0411,0.0344,0.0354
Medicare,0.0394,0.0482,0.0589,0.0399,0.0448,0.0437,0.0494,0.0477,0.0459,0.0423,0.0457,0.0501,0.0486,0.0452,0.0509,0.0266
Abraham Lincoln,0.0394,0.0446,0.0407,0.0255,0.0272,0.0423,0.0261,0.0254,0.0306,0.0600,0.0220,0.0247,0.0241,0.0315,0.0246,0.0220
Mental health,0.0394,0.0335,0.0340,0.0293,0.0331,0.0277,0.0289,0.0301,0.0294,0.0301,0.0312,0.0321,0.0305,0.0393,0.0410,0.0356
United Nations,0.0367,0.0411,0.0360,0.0280,0.0242,0.0243,0.0227,0.0175,0.0169,0.0179,0.0148,0.0160,0.0161,0.0172,0.0159,0.0158
Pakistani,0.0367,0.0263,0.0252,0.0158,0.0204,0.0199,0.0180,0.0169,0.0179,0.0193,0.0179,0.0336,0.0205,0.0183,0.0181,0.0165
terrorism,0.0354,0.0259,0.0275,0.0211,0.0181,0.0187,0.0192,0.0140,0.0098,0.0101,0.0112,0.0205,0.0175,0.0194,0.0154,0.0127
Wages,0.0354,0.0411,0.0404,0.0548,0.0439,0.0449,0.0424,0.0419,0.0467,0.1508,0.1466,0.0736,0.0653,0.0586,0.0682,0.0779
Border,0.0348,0.0388,0.0366,0.0293,0.0300,0.0291,0.0285,0.0263,0.0259,0.0254,0.0223,0.0279,0.0244,0.0338,0.0325,0.1204
Stock Market,0.0348,0.0254,0.0255,0.0211,0.0330,0.0461,0.0219,0.0224,0.0227,0.0200,0.0283,0.0240,0.0550,0.0475,0.0657,0.0252
Iran,0.0347,0.0411,0.0431,0.0321,0.0243,0.0249,0.0297,0.0232,0.0443,0.0292,0.0341,0.0409,0.1249,0.0219,0.0199,0.0253
Property taxes,0.0341,0.0308,0.0316,0.0299,0.0441,0.0340,0.0361,0.0294,0.0300,0.0279,0.0308,0.0276,0.0234,0.0309,0.0368,0.0228
Government,0.0335,0.0268,0.0179,0.0181,0.0164,0.0149,0.0152,0.0101,0.0110,0.0087,0.0104,0.0107,0.0106,0.0088,0.0105,0.0100
FDA,0.0328,0.0326,0.0232,0.0259,0.0241,0.0227,0.0226,0.0219,0.0179,0.0177,0.0181,0.0190,0.0163,0.0185,0.0196,0.0109
September 11 attacks,0.0328,0.0299,0.0428,0.0255,0.0223,0.0199,0.0186,0.0195,0.0209,0.0153,0.0151,0.0159,0.0162,0.0174,0.0174,0.0177
Thailand,0.0328,0.0437,0.0355,0.0327,0.0292,0.0254,0.0265,0.0239,0.0236,0.0261,0.0294,0.0281,0.0261,0.0279,0.0250,0.0278
NOAA,0.0315,0.0281,0.0328,0.0352,0.0578,0.0365,0.0702,0.1070,0.0434,0.0414,0.0564,0.0465,0.0269,0.0391,0.0192,0.0259
Netherlands,0.0308,0.0308,0.0264,0.0228,0.0215,0.0242,0.0244,0.0159,0.0161,0.0158,0.0138,0.0156,0.0149,0.0156,0.0157,0.0136
Veterans,0.0302,0.0219,0.0302,0.0266,0.0269,0.0275,0.0283,0.0328,0.0312,0.0285,0.0320,0.0373,0.0350,0.0375,0.0369,0.0446
Siemens,0.0302,0.0196,0.0141,0.0156,0.0153,0.0103,0.0134,0.0103,0.0140,0.0100,0.0078,0.0076,0.0064,0.0065,0.0063,0.0028
FBI,0.0302,0.0308,0.0243,0.0207,0.0261,0.0247,0.0222,0.0217,0.0204,0.0214,0.0187,0.0173,0.0203,0.0179,0.0377,0.0252
Middle East,0.0302,0.0254,0.0240,0.0209,0.0174,0.0155,0.0121,0.0146,0.0137,0.0120,0.0122,0.0144,0.0159,0.0127,0.0123,0.0135
Democracy,0.0302,0.0263,0.0267,0.0177,0.0212,0.0190,0.0184,0.0153,0.0164,0.0162,0.0176,0.0183,0.0218,0.0203,0.0233,0.0464
Panama,0.0289,0.0245,0.0188,0.0200,0.0212,0.0204,0.0256,0.0192,0.0161,0.0159,0.0172,0.0174,0.0139,0.0146,0.0130,0.0146
South Korea,0.0288,0.0232,0.0185,0.0183,0.0173,0.0209,0.0208,0.0240,0.0185,0.0229,0.0299,0.0200,0.0210,0.0240,0.0316,0.0201
Belgium,0.0276,0.0210,0.0173,0.0137,0.0161,0.0141,0.0165,0.0129,0.0129,0.0147,0.0115,0.0137,0.0125,0.0133,0.0128,0.0130
Capital punishment,0.0276,0.0406,0.0311,0.0215,0.0161,0.0212,0.0171,0.0170,0.0147,0.0160,0.0175,0.0173,0.0135,0.0143,0.0128,0.0158
Nuclear power,0.0275,0.0219,0.0199,0.0167,0.0180,0.0190,0.0195,0.0138,0.0127,0.0158,0.0124,0.0149,0.0124,0.0130,0.0134,0.0104
Veteran Affairs,0.0263,0.0259,0.0299,0.0314,0.0333,0.0375,0.0406,0.0427,0.0399,0.0379,0.0390,0.0427,0.0355,0.0400,0.0456,0.0257
Homeland Security Department,0.0262,0.0223,0.0208,0.0236,0.0184,0.0222,0.0186,0.0156,0.0139,0.0133,0.0137,0.0136,0.0123,0.0150,0.0143,0.0298
Social security,0.0243,0.0830,0.0220,0.0213,0.0239,0.0230,0.0229,0.0331,0.0290,0.0260,0.0291,0.0375,0.0330,0.0270,0.0369,0.0409
Indonesia,0.0243,0.0187,0.0161,0.0135,0.0158,0.0111,0.0136,0.0130,0.0123,0.0123,0.0163,0.0364,0.0141,0.0144,0.0113,0.0100
Poland,0.0243,0.0286,0.0226,0.0181,0.0147,0.0193,0.0287,0.0155,0.0151,0.0144,0.0142,0.0156,0.0155,0.0150,0.0153,0.0141
No Child Left Behind Act,0.0236,0.0107,0.0070,0.0114,0.0118,0.0051,0.0047,0.0068,0.0033,0.0019,0.0013,0.0014,0.0010,0.0011,0.0011,0.0007
No Child Left Behind Act,0.0236,0.0107,0.0070,0.0114,0.0118,0.0051,0.0047,0.0068,0.0033,0.0019,0.0013,0.0014,0.0010,0.0011,0.0011,0.0007
Department of State,0.0236,0.0241,0.0246,0.0234,0.0189,0.0238,0.0164,0.0174,0.0127,0.0103,0.0112,0.0097,0.0074,0.0109,0.0068,0.0046
Treasury,0.0230,0.0192,0.0202,0.0162,0.0206,0.0237,0.0133,0.0118,0.0144,0.0119,0.0112,0.0124,0.0085,0.0111,0.0142,0.0085
Pensions,0.0229,0.0250,0.0220,0.0226,0.0193,0.0203,0.0197,0.0205,0.0185,0.0159,0.0204,0.0185,0.0169,0.0184,0.0195,0.0137
Iraq War,0.0229,0.0241,0.0252,0.0262,0.0176,0.0099,0.0071,0.0046,0.0056,0.0036,0.0026,0.0032,0.0022,0.0019,0.0025,0.0024
Norway,0.0229,0.0179,0.0211,0.0135,0.0133,0.0116,0.0150,0.0173,0.0188,0.0117,0.0175,0.0136,0.0151,0.0131,0.0192,0.0146
Planned Parenthood,0.0229,0.0165,0.0243,0.0175,0.0190,0.0178,0.0139,0.0208,0.0197,0.0162,0.0152,0.0146,0.0186,0.0199,0.0153,0.0161
Venezuela,0.0223,0.0219,0.0272,0.0219,0.0415,0.0460,0.0793,0.0153,0.0200,0.0234,0.0279,0.0206,0.0176,0.0169,0.0192,0.1039
Electoral college,0.0223,0.0040,0.0023,0.0036,0.0091,0.0027,0.0020,0.0027,0.0045,0.0038,0.0032,0.0031,0.0051,0.0060,0.0037,0.0053
Supreme Court,0.0210,0.0245,0.0548,0.0194,0.0161,0.0208,0.0674,0.0242,0.0228,0.0209,0.0184,0.0231,0.0200,0.0235,0.0242,0.0618
Afghanistan,0.0210,0.0210,0.0158,0.0150,0.0173,0.0187,0.0297,0.0257,0.0206,0.0199,0.0166,0.0142,0.0121,0.0112,0.0141,0.0195
Federal reserve system,0.0210,0.0272,0.0243,0.0143,0.0464,0.0170,0.0187,0.0138,0.0172,0.0103,0.0180,0.0108,0.0150,0.0120,0.0152,0.0078
European Union,0.0210,0.0152,0.0132,0.0120,0.0112,0.0108,0.0108,0.0080,0.0099,0.0073,0.0070,0.0097,0.0064,0.0074,0.0076,0.0067
Muslims,0.0203,0.0201,0.0381,0.0253,0.0285,0.0204,0.0207,0.0219,0.0206,0.0221,0.0193,0.0371,0.0352,0.0348,0.0190,0.0300
Teddy Roosevelt,0.0203,0.0116,0.0114,0.0103,0.0101,0.0137,0.0083,0.0091,0.0094,0.0109,0.0079,0.0093,0.0104,0.0111,0.0116,0.0104
FCC,0.0203,0.0170,0.0129,0.0089,0.0095,0.0093,0.0084,0.0080,0.0072,0.0069,0.0065,0.0063,0.0065,0.0051,0.0056,0.0032
Arabic,0.0203,0.0161,0.0267,0.0219,0.0288,0.0296,0.0488,0.0313,0.0268,0.0227,0.0227,0.0258,0.0231,0.0246,0.0227,0.0223
Same-sex marriage,0.0203,0.0161,0.0108,0.0086,0.0073,0.0093,0.0108,0.0082,0.0156,0.0138,0.0176,0.0143,0.0079,0.0063,0.0037,0.0041
Edward Kennedy,0.0197,0.0062,0.0067,0.0036,0.0297,0.0037,0.0025,0.0014,0.0009,0.0006,0.0005,0.0005,0.0006,0.0007,0.0079,0.0014
Saddam Hussein,0.0190,0.0112,0.0100,0.0198,0.0075,0.0038,0.0040,0.0036,0.0032,0.0022,0.0024,0.0026,0.0025,0.0018,0.0017,0.0018
Ukraine,0.0190,0.0152,0.0114,0.0108,0.0130,0.0094,0.0123,0.0091,0.0093,0.0096,0.0337,0.0247,0.0137,0.0133,0.0117,0.0112
hurricane,0.0190,0.0277,0.0566,0.0356,0.0256,0.0299,0.0237,0.0227,0.0189,0.0275,0.0197,0.0168,0.0197,0.0216,0.0309,0.0212
Medicaid,0.0184,0.0290,0.0343,0.0289,0.0290,0.0333,0.0336,0.0359,0.0359,0.0348,0.0424,0.0495,0.0462,0.0438,0.0493,0.0255
Confederate states,0.0184,0.0098,0.0076,0.0101,0.0062,0.0092,0.0065,0.0059,0.0060,0.0064,0.0066,0.0071,0.0105,0.0138,0.0078,0.0083
Lockheed,0.0184,0.0156,0.0147,0.0131,0.0131,0.0118,0.0110,0.0089,0.0083,0.0056,0.0063,0.0066,0.0048,0.0066,0.0056,0.0046
Coast Guard,0.0170,0.0161,0.0144,0.0211,0.0180,0.0155,0.0123,0.0114,0.0100,0.0093,0.0092,0.0102,0.0093,0.0084,0.0111,0.0074
San Bernardino,0.0164,0.0138,0.0167,0.0097,0.0137,0.0136,0.0109,0.0156,0.0180,0.0276,0.0151,0.0157,0.0188,0.0192,0.0169,0.0133
Global warming,0.0158,0.0170,0.0202,0.0500,0.0409,0.0258,0.0223,0.0139,0.0093,0.0107,0.0148,0.0108,0.0094,0.0135,0.0086,0.0099
Torture,0.0157,0.0156,0.0132,0.0084,0.0088,0.0108,0.0119,0.0096,0.0098,0.0093,0.0101,0.0115,0.0083,0.0100,0.0081,0.0078
Public transportation,0.0151,0.0170,0.0161,0.0124,0.0138,0.0116,0.0126,0.0099,0.0098,0.0093,0.0100,0.0085,0.0077,0.0085,0.0061,0.0048
Romania,0.0151,0.0161,0.0146,0.0133,0.0134,0.0081,0.0194,0.0080,0.0070,0.0082,0.0080,0.0076,0.0061,0.0068,0.0064,0.0049
North Korea,0.0151,0.0076,0.0108,0.0070,0.0040,0.0066,0.0083,0.0080,0.0061,0.0465,0.0128,0.0127,0.0184,0.0156,0.0621,0.0181
Denmark,0.0151,0.0170,0.0246,0.0076,0.0124,0.0097,0.0116,0.0105,0.0128,0.0074,0.0096,0.0099,0.0105,0.0096,0.0102,0.0084
El Salvador,0.0151,0.0187,0.0164,0.0105,0.0151,0.0249,0.0267,0.0153,0.0201,0.0161,0.0195,0.0175,0.0178,0.0201,0.0185,0.0244
Jerusalem,0.0151,0.0116,0.0094,0.0076,0.0086,0.0102,0.0067,0.0080,0.0077,0.0075,0.0080,0.0086,0.0074,0.0067,0.0113,0.0129
Thrift Savings Plan,0.0151,0.0223,0.0149,0.0141,0.0131,0.0077,0.0082,0.0109,0.0086,0.0099,0.0093,0.0098,0.0069,0.0086,0.0092,0.0069
World Trade Center,0.0151,0.0116,0.0161,0.0099,0.0091,0.0077,0.0076,0.0068,0.0065,0.0064,0.0063,0.0061,0.0065,0.0044,0.0045,0.0046
Youngstown,0.0144,0.0080,0.0073,0.0114,0.0076,0.0073,0.0068,0.0087,0.0095,0.0111,0.0102,0.0100,0.0099,0.0092,0.0091,0.0051
Georgetown University,0.0144,0.0170,0.0088,0.0137,0.0098,0.0099,0.0096,0.0100,0.0087,0.0065,0.0076,0.0079,0.0080,0.0074,0.0062,0.0079
National Institutes of Health,0.0144,0.0201,0.0149,0.0118,0.0124,0.0170,0.0122,0.0100,0.0091,0.0077,0.0077,0.0075,0.0063,0.0075,0.0062,0.0035
Department of Justice,0.0138,0.0170,0.0129,0.0129,0.0094,0.0105,0.0086,0.0073,0.0070,0.0078,0.0060,0.0052,0.0051,0.0068,0.0066,0.0031
Morocco,0.0138,0.0120,0.0129,0.0112,0.0135,0.0139,0.0196,0.0103,0.0111,0.0073,0.0102,0.0103,0.0097,0.0113,0.0148,0.0099
Joe Lieberman,0.0138,0.0036,0.0023,0.0015,0.0020,0.0026,0.0023,0.0009,0.0017,0.0006,0.0003,0.0000,0.0000,0.0003,0.0000,0.0003
Arab,0.0138,0.0152,0.0185,0.0137,0.0163,0.0164,0.0315,0.0154,0.0139,0.0138,0.0170,0.0232,0.0156,0.0128,0.0099,0.0092
Beijing,0.0138,0.0161,0.0117,0.0112,0.0207,0.0151,0.0123,0.0091,0.0097,0.0079,0.0084,0.0085,0.0077,0.0085,0.0080,0.0073
Overtime pay,0.0131,0.0049,0.0026,0.0030,0.0029,0.0026,0.0029,0.0029,0.0037,0.0027,0.0029,0.0031,0.0048,0.0041,0.0049,0.0033
