entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Saudi Arabia,0.0131,0.0138,0.0146,0.0116,0.0107,0.0140,0.0324,0.0119,0.0114,0.0114,0.0121,0.0189,0.0161,0.0138,0.0104,0.0120
Thomas Edison,0.0131,0.0134,0.0103,0.0095,0.0075,0.0073,0.0070,0.0065,0.0059,0.0055,0.0046,0.0069,0.0068,0.0060,0.0057,0.0044
Automotive Industry,0.0131,0.0040,0.0082,0.0057,0.0065,0.0079,0.0048,0.0045,0.0071,0.0035,0.0039,0.0037,0.0031,0.0035,0.0045,0.0025
California Wild Fires,0.0131,0.0062,0.0082,0.0097,0.0169,0.0059,0.0050,0.0050,0.0032,0.0047,0.0043,0.0032,0.0038,0.0037,0.0049,0.0045
ISIS,0.0130,0.0054,0.0050,0.0055,0.0046,0.0028,0.0028,0.0037,0.0042,0.0034,0.0047,0.0634,0.0560,0.0170,0.0111,0.0121
Hungary,0.0125,0.0152,0.0088,0.0076,0.0069,0.0059,0.0113,0.0074,0.0049,0.0044,0.0050,0.0057,0.0045,0.0055,0.0052,0.0047
Palestinian Territories,0.0119,0.0031,0.0117,0.0025,0.0037,0.0062,0.0048,0.0039,0.0027,0.0036,0.0023,0.0043,0.0020,0.0036,0.0033,0.0034
Law Enforcement,0.0118,0.0103,0.0111,0.0070,0.0091,0.0097,0.0078,0.0078,0.0082,0.0081,0.0073,0.0058,0.0066,0.0077,0.0072,0.0072
Fannie Mae,0.0118,0.0112,0.0059,0.0082,0.0095,0.0119,0.0088,0.0131,0.0112,0.0096,0.0074,0.0071,0.0058,0.0090,0.0077,0.0036
Wall Street,0.0118,0.0103,0.0082,0.0084,0.0097,0.0104,0.0084,0.0068,0.0071,0.0059,0.0094,0.0084,0.0071,0.0069,0.0065,0.0042
Charter schools,0.0118,0.0112,0.0146,0.0131,0.0102,0.0167,0.0170,0.0177,0.0159,0.0139,0.0146,0.0150,0.0142,0.0155,0.0141,0.0112
Haiti,0.0118,0.0179,0.0188,0.0131,0.0143,0.0155,0.2687,0.0273,0.0201,0.0186,0.0156,0.0158,0.0163,0.0177,0.0185,0.0156
Lebanon,0.0112,0.0107,0.0085,0.0169,0.0109,0.0119,0.0108,0.0152,0.0077,0.0063,0.0073,0.0103,0.0077,0.0073,0.0070,0.0064
Aid,0.0111,0.0076,0.0076,0.0078,0.0092,0.0079,0.0091,0.0082,0.0081,0.0058,0.0060,0.0068,0.0058,0.0076,0.0079,0.0054
C-SPAN,0.0111,0.0161,0.0308,0.0211,0.0111,0.0164,0.0184,0.0162,0.0113,0.0105,0.0104,0.0073,0.0063,0.0072,0.0086,0.0211
Affirmative action,0.0105,0.0080,0.0079,0.0055,0.0036,0.0043,0.0039,0.0030,0.0029,0.0032,0.0024,0.0021,0.0020,0.0035,0.0027,0.0024
Burma,0.0104,0.0062,0.0070,0.0067,0.0072,0.0046,0.0050,0.0059,0.0096,0.0085,0.0105,0.0093,0.0085,0.0072,0.0066,0.0051
Taliban,0.0104,0.0027,0.0029,0.0013,0.0022,0.0040,0.0034,0.0015,0.0028,0.0024,0.0019,0.0029,0.0024,0.0016,0.0028,0.0065
Arabian Peninsula,0.0104,0.0058,0.0047,0.0036,0.0036,0.0037,0.0050,0.0029,0.0033,0.0024,0.0025,0.0039,0.0034,0.0040,0.0028,0.0036
Usama bin Laden,0.0098,0.0089,0.0146,0.0086,0.0078,0.0050,0.0067,0.0031,0.0115,0.0167,0.0047,0.0063,0.0082,0.0042,0.0029,0.0045
Minimum wage,0.0098,0.0107,0.0108,0.0302,0.0190,0.0211,0.0187,0.0156,0.0194,0.1204,0.1115,0.0401,0.0309,0.0247,0.0298,0.0323
Euthanasia,0.0098,0.0103,0.0061,0.0053,0.0053,0.0046,0.0043,0.0031,0.0047,0.0042,0.0038,0.0036,0.0028,0.0034,0.0033,0.0034
American Armed Forces,0.0098,0.0076,0.0097,0.0089,0.0079,0.0063,0.0072,0.0057,0.0070,0.0059,0.0053,0.0060,0.0070,0.0071,0.0061,0.0106
Foreign Service,0.0092,0.0027,0.0021,0.0019,0.0009,0.0007,0.0010,0.0006,0.0009,0.0006,0.0006,0.0004,0.0005,0.0005,0.0004,0.0003
Estate tax in the United States,0.0092,0.0054,0.0035,0.0025,0.0035,0.0025,0.0025,0.0026,0.0022,0.0018,0.0019,0.0034,0.0022,0.0011,0.0015,0.0095
Zimbabwe,0.0092,0.0107,0.0091,0.0061,0.0053,0.0058,0.0057,0.0031,0.0037,0.0043,0.0047,0.0057,0.0037,0.0038,0.0034,0.0029
West Africa,0.0092,0.0058,0.0047,0.0040,0.0032,0.0024,0.0034,0.0022,0.0021,0.0025,0.0021,0.0027,0.0031,0.0030,0.0034,0.0026
Capital gains tax,0.0092,0.0049,0.0076,0.0046,0.0035,0.0030,0.0068,0.0023,0.0104,0.0031,0.0038,0.0075,0.0036,0.0046,0.0065,0.0039
Little League,0.0092,0.0120,0.0123,0.0139,0.0120,0.0152,0.0116,0.0137,0.0121,0.0106,0.0098,0.0094,0.0069,0.0105,0.0082,0.0068
Libya,0.0092,0.0040,0.0059,0.0032,0.0029,0.0061,0.0164,0.0031,0.0089,0.0043,0.0041,0.0031,0.0035,0.0028,0.0045,0.0025
Bulgaria,0.0092,0.0080,0.0070,0.0072,0.0069,0.0052,0.0055,0.0042,0.0048,0.0043,0.0038,0.0037,0.0037,0.0039,0.0039,0.0029
Articles of Confederation,0.0092,0.0031,0.0026,0.0032,0.0029,0.0021,0.0029,0.0050,0.0049,0.0036,0.0043,0.0048,0.0050,0.0035,0.0049,0.0043
Truman,0.0092,0.0170,0.0103,0.0091,0.0118,0.0092,0.0059,0.0052,0.0058,0.0062,0.0049,0.0062,0.0052,0.0090,0.0070,0.0061
National Anthem,0.0092,0.0054,0.0062,0.0049,0.0056,0.0045,0.0041,0.0042,0.0077,0.0037,0.0064,0.0042,0.0060,0.0037,0.0076,0.0063
National Debt of the United States,0.0092,0.0080,0.0082,0.0051,0.0050,0.0073,0.0111,0.0125,0.0150,0.0067,0.0067,0.0101,0.0111,0.0080,0.0053,0.0114
Bali,0.0091,0.0071,0.0067,0.0076,0.0079,0.0074,0.0050,0.0057,0.0070,0.0048,0.0062,0.0083,0.0070,0.0086,0.0081,0.0102
Baghdad,0.0091,0.0062,0.0041,0.0067,0.0033,0.0019,0.0028,0.0025,0.0021,0.0016,0.0012,0.0014,0.0016,0.0017,0.0011,0.0012
Lobbying,0.0091,0.0062,0.0076,0.0078,0.0069,0.0048,0.0090,0.0055,0.0072,0.0039,0.0037,0.0049,0.0074,0.0089,0.0037,0.0041
Congo,0.0085,0.0076,0.0062,0.0076,0.0059,0.0055,0.0053,0.0052,0.0059,0.0053,0.0048,0.0066,0.0051,0.0057,0.0047,0.0049
Hispanic American,0.0085,0.0085,0.0082,0.0042,0.0063,0.0059,0.0044,0.0037,0.0033,0.0047,0.0037,0.0032,0.0027,0.0045,0.0052,0.0065
California Institute of Technology,0.0085,0.0058,0.0053,0.0053,0.0027,0.0056,0.0057,0.0047,0.0034,0.0030,0.0022,0.0028,0.0036,0.0027,0.0020,0.0018
Laura Bush,0.0085,0.0076,0.0050,0.0049,0.0026,0.0014,0.0009,0.0027,0.0007,0.0004,0.0005,0.0005,0.0005,0.0006,0.0016,0.0006
Mali,0.0085,0.0076,0.0044,0.0046,0.0035,0.0042,0.0045,0.0023,0.0027,0.0069,0.0032,0.0039,0.0030,0.0035,0.0031,0.0027
Gulf Coast,0.0079,0.0054,0.0070,0.0042,0.0058,0.0041,0.0025,0.0037,0.0047,0.0038,0.0058,0.0047,0.0043,0.0037,0.0035,0.0033
Federal Housing Administration,0.0079,0.0085,0.0073,0.0053,0.0170,0.0264,0.0167,0.0138,0.0157,0.0126,0.0103,0.0141,0.0099,0.0109,0.0112,0.0080
Somalia,0.0079,0.0062,0.0047,0.0076,0.0048,0.0064,0.0047,0.0070,0.0255,0.0044,0.0081,0.0050,0.0035,0.0048,0.0035,0.0043
Alexander Graham Bell,0.0079,0.0036,0.0047,0.0023,0.0030,0.0021,0.0023,0.0019,0.0024,0.0019,0.0017,0.0015,0.0015,0.0024,0.0021,0.0012
Dwight D. Eisenhower,0.0079,0.0054,0.0076,0.0063,0.0053,0.0074,0.0049,0.0056,0.0047,0.0061,0.0056,0.0064,0.0054,0.0089,0.0059,0.0103
gun control,0.0079,0.0071,0.0041,0.0036,0.0048,0.0068,0.0025,0.0058,0.0026,0.0330,0.0068,0.0035,0.0133,0.0044,0.0031,0.0045
NATO,0.0079,0.0089,0.0053,0.0029,0.0055,0.0048,0.0044,0.0052,0.0045,0.0050,0.0049,0.0061,0.0052,0.0136,0.0058,0.0232
Sudan,0.0078,0.0143,0.0129,0.0084,0.0084,0.0085,0.0064,0.0094,0.0042,0.0048,0.0050,0.0083,0.0039,0.0051,0.0046,0.0033
Elkhart,0.0078,0.0036,0.0047,0.0057,0.0046,0.0053,0.0058,0.0047,0.0060,0.0054,0.0059,0.0062,0.0070,0.0093,0.0065,0.0031
Pentagon,0.0072,0.0067,0.0056,0.0046,0.0043,0.0040,0.0034,0.0041,0.0049,0.0044,0.0034,0.0040,0.0048,0.0039,0.0050,0.0041
Tunisia,0.0072,0.0045,0.0047,0.0019,0.0035,0.0035,0.0047,0.0242,0.0029,0.0027,0.0028,0.0037,0.0029,0.0027,0.0026,0.0020
Tax Cuts,0.0072,0.0071,0.0111,0.0046,0.0118,0.0131,0.0065,0.0041,0.0025,0.0007,0.0009,0.0016,0.0007,0.0016,0.0156,0.0058
Cheney,0.0072,0.0049,0.0038,0.0097,0.0072,0.0027,0.0014,0.0022,0.0022,0.0035,0.0018,0.0016,0.0011,0.0012,0.0013,0.0048
Jakarta,0.0072,0.0080,0.0035,0.0017,0.0037,0.0024,0.0027,0.0021,0.0013,0.0023,0.0024,0.0047,0.0030,0.0021,0.0015,0.0015
Freddie Mac,0.0072,0.0062,0.0029,0.0034,0.0062,0.0077,0.0044,0.0053,0.0073,0.0039,0.0030,0.0025,0.0016,0.0021,0.0023,0.0015
West Point,0.0072,0.0085,0.0097,0.0076,0.0062,0.0052,0.0069,0.0059,0.0060,0.0039,0.0041,0.0038,0.0041,0.0046,0.0043,0.0037
Tariff,0.0072,0.0067,0.0097,0.0053,0.0049,0.0062,0.0067,0.0054,0.0052,0.0054,0.0061,0.0072,0.0059,0.0090,0.0076,0.0180
Keystone,0.0066,0.0027,0.0047,0.0038,0.0042,0.0026,0.0030,0.0024,0.0028,0.0028,0.0018,0.0019,0.0028,0.0021,0.0022,0.0024
COBRA,0.0066,0.0094,0.0067,0.0057,0.0082,0.0188,0.0107,0.0060,0.0046,0.0033,0.0032,0.0033,0.0027,0.0035,0.0034,0.0020
Commerce Department,0.0066,0.0062,0.0023,0.0057,0.0032,0.0063,0.0033,0.0027,0.0024,0.0017,0.0016,0.0016,0.0014,0.0026,0.0016,0.0016
Social Security,0.0066,0.0170,0.0038,0.0055,0.0098,0.0090,0.0115,0.0089,0.0081,0.0073,0.0110,0.0094,0.0102,0.0093,0.0120,0.0409
Space exploration,0.0066,0.0040,0.0032,0.0027,0.0022,0.0016,0.0014,0.0021,0.0014,0.0017,0.0011,0.0012,0.0016,0.0016,0.0013,0.0017
Bahrain,0.0066,0.0031,0.0059,0.0042,0.0040,0.0030,0.0059,0.0038,0.0032,0.0034,0.0030,0.0037,0.0051,0.0021,0.0016,0.0020
Capitol,0.0066,0.0076,0.0091,0.0038,0.0039,0.0062,0.0044,0.0075,0.0052,0.0044,0.0046,0.0058,0.0061,0.0049,0.0087,0.0091
Department of Energy,0.0066,0.0134,0.0094,0.0034,0.0049,0.0071,0.0051,0.0048,0.0033,0.0025,0.0018,0.0027,0.0016,0.0019,0.0014,0.0016
Anti-abortion movements,0.0066,0.0062,0.0044,0.0040,0.0035,0.0031,0.0045,0.0026,0.0044,0.0018,0.0024,0.0026,0.0018,0.0021,0.0026,0.0070
Warren Buffett,0.0065,0.0062,0.0044,0.0040,0.0052,0.0062,0.0048,0.0068,0.0294,0.0046,0.0067,0.0042,0.0066,0.0113,0.0109,0.0050
Syria,0.0065,0.0103,0.0079,0.0065,0.0050,0.0042,0.0079,0.0051,0.0099,0.0118,0.0136,0.0109,0.0217,0.0187,0.0119,0.0123
Drug Overdose,0.0065,0.0062,0.0094,0.0070,0.0104,0.0120,0.0083,0.0136,0.0128,0.0107,0.0117,0.0117,0.0153,0.0145,0.0162,0.0201
Al Qaida,0.0065,0.0036,0.0073,0.0044,0.0049,0.0028,0.0040,0.0023,0.0024,0.0030,0.0024,0.0031,0.0016,0.0013,0.0008,0.0013
National security,0.0065,0.0027,0.0032,0.0030,0.0032,0.0022,0.0036,0.0022,0.0013,0.0010,0.0015,0.0021,0.0017,0.0027,0.0021,0.0022
ROTC,0.0059,0.0031,0.0067,0.0044,0.0053,0.0069,0.0060,0.0099,0.0053,0.0047,0.0053,0.0043,0.0042,0.0036,0.0041,0.0032
Edison,0.0059,0.0054,0.0070,0.0065,0.0071,0.0092,0.0087,0.0101,0.0103,0.0089,0.0081,0.0075,0.0077,0.0103,0.0096,0.0089
Defense of Marriage Act,0.0059,0.0000,0.0018,0.0000,0.0011,0.0000,0.0000,0.0006,0.0013,0.0015,0.0009,0.0005,0.0006,0.0005,0.0005,0.0003
Legality of cannabis,0.0059,0.0045,0.0035,0.0025,0.0036,0.0152,0.0052,0.0047,0.0042,0.0059,0.0110,0.0057,0.0052,0.0062,0.0064,0.0082
Military service,0.0059,0.0027,0.0029,0.0023,0.0026,0.0035,0.0041,0.0029,0.0024,0.0030,0.0030,0.0037,0.0025,0.0031,0.0024,0.0040
Federal Tax Code,0.0059,0.0054,0.0047,0.0030,0.0023,0.0030,0.0042,0.0022,0.0021,0.0019,0.0020,0.0019,0.0016,0.0017,0.0018,0.0011
Blacksburg,0.0053,0.0045,0.0050,0.0067,0.0068,0.0056,0.0052,0.0071,0.0059,0.0056,0.0044,0.0042,0.0046,0.0067,0.0046,0.0032
Cape Town,0.0053,0.0031,0.0026,0.0038,0.0045,0.0053,0.0070,0.0035,0.0034,0.0030,0.0033,0.0042,0.0035,0.0046,0.0091,0.0030
Border Patrol Agents,0.0053,0.0000,0.0053,0.0055,0.0035,0.0072,0.0041,0.0029,0.0031,0.0023,0.0025,0.0022,0.0023,0.0038,0.0029,0.0055
Hoover Dam,0.0053,0.0000,0.0038,0.0029,0.0035,0.0025,0.0036,0.0043,0.0036,0.0024,0.0030,0.0026,0.0025,0.0027,0.0030,0.0025
NAFTA,0.0053,0.0054,0.0032,0.0042,0.0046,0.0045,0.0025,0.0022,0.0034,0.0026,0.0017,0.0022,0.0018,0.0048,0.0043,0.1127
John McCain,0.0053,0.0031,0.0076,0.0224,0.0875,0.0126,0.0122,0.0068,0.0067,0.0041,0.0050,0.0036,0.0049,0.0065,0.0078,0.0154
Elyria,0.0053,0.0036,0.0018,0.0029,0.0030,0.0017,0.0017,0.0027,0.0029,0.0036,0.0041,0.0047,0.0039,0.0035,0.0032,0.0023
Social programs in the United States,0.0053,0.0031,0.0035,0.0027,0.0022,0.0047,0.0041,0.0101,0.0058,0.0047,0.0047,0.0041,0.0039,0.0052,0.0043,0.0037
National Security Agency,0.0053,0.0076,0.0155,0.0070,0.0063,0.0063,0.0043,0.0086,0.0053,0.0041,0.0153,0.0058,0.0050,0.0044,0.0043,0.0031
Climate change,0.0053,0.0027,0.0029,0.0059,0.0073,0.0066,0.0084,0.0043,0.0052,0.0078,0.0101,0.0094,0.0094,0.0138,0.0103,0.0117
Immigration to the United States,0.0053,0.0049,0.0070,0.0023,0.0039,0.0026,0.0021,0.0016,0.0020,0.0017,0.0024,0.0022,0.0024,0.0030,0.0028,0.0024
Campaign finance,0.0053,0.0027,0.0038,0.0017,0.0033,0.0021,0.0094,0.0015,0.0021,0.0014,0.0016,0.0014,0.0018,0.0012,0.0018,0.0011
First amendment,0.0053,0.0120,0.0079,0.0049,0.0084,0.0061,0.0102,0.0064,0.0065,0.0053,0.0050,0.0052,0.0057,0.0065,0.0074,0.0051
Interstate Highway System,0.0052,0.0045,0.0026,0.0040,0.0036,0.0032,0.0030,0.0031,0.0025,0.0023,0.0089,0.0031,0.0033,0.0034,0.0028,0.0024
Government spending,0.0052,0.0000,0.0023,0.0019,0.0029,0.0061,0.0046,0.0077,0.0026,0.0033,0.0017,0.0015,0.0025,0.0032,0.0018,0.0021
World Trade Organization,0.0052,0.0058,0.0041,0.0027,0.0026,0.0027,0.0020,0.0030,0.0012,0.0016,0.0011,0.0012,0.0010,0.0014,0.0011,0.0009
National Endowment for Democracy,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Damascus,0.0052,0.0027,0.0023,0.0023,0.0027,0.0016,0.0022,0.0029,0.0030,0.0026,0.0022,0.0025,0.0021,0.0029,0.0022,0.0040
Hizballah,0.0052,0.0000,0.0000,0.0017,0.0012,0.0010,0.0012,0.0022,0.0007,0.0005,0.0004,0.0015,0.0008,0.0004,0.0007,0.0005
Normandy,0.0052,0.0040,0.0032,0.0025,0.0017,0.0020,0.0044,0.0013,0.0016,0.0024,0.0022,0.0016,0.0014,0.0018,0.0019,0.0043
Diversity Immigrant Visa,0.0052,0.0000,0.0000,0.0013,0.0010,0.0012,0.0006,0.0013,0.0010,0.0005,0.0007,0.0006,0.0006,0.0011,0.0038,0.0004
Corporate tax,0.0052,0.0054,0.0059,0.0036,0.0030,0.0035,0.0039,0.0045,0.0037,0.0033,0.0027,0.0031,0.0030,0.0041,0.0048,0.0017
American Dream,0.0046,0.0071,0.0032,0.0036,0.0030,0.0054,0.0036,0.0036,0.0041,0.0027,0.0036,0.0042,0.0033,0.0035,0.0036,0.0032
First Lady,0.0046,0.0045,0.0023,0.0023,0.0019,0.0033,0.0012,0.0023,0.0028,0.0040,0.0028,0.0029,0.0076,0.0062,0.0079,0.0022
Southeast Asia,0.0046,0.0058,0.0035,0.0027,0.0023,0.0025,0.0022,0.0015,0.0025,0.0023,0.0024,0.0040,0.0028,0.0029,0.0025,0.0023
Great Plains,0.0046,0.0071,0.0032,0.0027,0.0027,0.0015,0.0023,0.0025,0.0024,0.0022,0.0021,0.0022,0.0026,0.0022,0.0019,0.0019
Atlantic Ocean,0.0046,0.0062,0.0026,0.0027,0.0022,0.0033,0.0040,0.0033,0.0031,0.0026,0.0030,0.0033,0.0030,0.0024,0.0036,0.0030
Yemen,0.0046,0.0040,0.0038,0.0032,0.0017,0.0033,0.0071,0.0040,0.0047,0.0037,0.0039,0.0281,0.0063,0.0286,0.0054,0.0058
Cairo,0.0046,0.0071,0.0064,0.0032,0.0055,0.0061,0.0044,0.0083,0.0036,0.0024,0.0024,0.0033,0.0024,0.0021,0.0031,0.0028
Coretta Scott King,0.0040,0.0027,0.1097,0.0055,0.0035,0.0020,0.0010,0.0011,0.0013,0.0026,0.0011,0.0036,0.0011,0.0011,0.0009,0.0010
Steve Jobs,0.0040,0.0058,0.0035,0.0032,0.0061,0.0066,0.0339,0.0087,0.0309,0.0086,0.0091,0.0088,0.0129,0.0059,0.0065,0.0049
Adnan Pachachi,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Kurds,0.0040,0.0045,0.0018,0.0019,0.0010,0.0019,0.0016,0.0016,0.0008,0.0009,0.0007,0.0017,0.0016,0.0018,0.0016,0.0013
Federal Convention,0.0040,0.0027,0.0035,0.0019,0.0016,0.0017,0.0024,0.0020,0.0028,0.0022,0.0017,0.0025,0.0029,0.0019,0.0026,0.0024
Sikh,0.0040,0.0027,0.0000,0.0017,0.0026,0.0020,0.0012,0.0010,0.0035,0.0021,0.0021,0.0012,0.0031,0.0023,0.0011,0.0014
Voting Rights Act,0.0040,0.0000,0.0000,0.0015,0.0020,0.0010,0.0008,0.0006,0.0008,0.0007,0.0015,0.0010,0.0008,0.0014,0.0010,0.0010
Tehran,0.0040,0.0000,0.0029,0.0013,0.0019,0.0022,0.0023,0.0026,0.0026,0.0039,0.0046,0.0057,0.0045,0.0014,0.0025,0.0016
Voice of America,0.0040,0.0027,0.0038,0.0038,0.0017,0.0032,0.0044,0.0045,0.0054,0.0054,0.0046,0.0054,0.0049,0.0055,0.0041,0.0042
Tax Reform,0.0040,0.0027,0.0018,0.0000,0.0014,0.0000,0.0000,0.0004,0.0004,0.0007,0.0003,0.0010,0.0004,0.0012,0.0130,0.0025
Free trade,0.0040,0.0036,0.0018,0.0019,0.0024,0.0017,0.0017,0.0028,0.0013,0.0021,0.0015,0.0011,0.0012,0.0019,0.0013,0.0013
Golden Gate Bridge,0.0039,0.0054,0.0029,0.0038,0.0040,0.0025,0.0036,0.0031,0.0043,0.0029,0.0030,0.0038,0.0028,0.0030,0.0031,0.0025
South Asia,0.0039,0.0036,0.0035,0.0021,0.0026,0.0022,0.0022,0.0020,0.0018,0.0023,0.0016,0.0026,0.0018,0.0025,0.0023,0.0018
Seoul,0.0039,0.0045,0.0053,0.0049,0.0032,0.0051,0.0047,0.0039,0.0053,0.0045,0.0041,0.0049,0.0044,0.0058,0.0061,0.0058
Palestinian,0.0039,0.0036,0.0038,0.0044,0.0036,0.0025,0.0015,0.0017,0.0020,0.0007,0.0011,0.0015,0.0014,0.0014,0.0014,0.0017
Flags of the confederate states,0.0039,0.0027,0.0029,0.0032,0.0016,0.0036,0.0021,0.0020,0.0024,0.0027,0.0031,0.0023,0.0057,0.0085,0.0030,0.0034
Affordable Care Act,0.0039,0.0000,0.0018,0.0023,0.0023,0.0025,0.0036,0.0094,0.0106,0.0301,0.0744,0.0400,0.0299,0.0356,0.0179,0.0170
Gitmo,0.0039,0.0049,0.0026,0.0030,0.0033,0.0098,0.0035,0.0024,0.0022,0.0017,0.0063,0.0204,0.0079,0.0009,0.0247,0.0012
Master Lock,0.0039,0.0027,0.0029,0.0019,0.0009,0.0022,0.0016,0.0020,0.0084,0.0017,0.0017,0.0016,0.0018,0.0017,0.0017,0.0014
Shi'a,0.0039,0.0067,0.0041,0.0074,0.0029,0.0022,0.0025,0.0038,0.0022,0.0028,0.0014,0.0048,0.0037,0.0024,0.0021,0.0021
Interior Department,0.0039,0.0000,0.0018,0.0023,0.0023,0.0021,0.0012,0.0018,0.0009,0.0008,0.0008,0.0006,0.0006,0.0011,0.0008,0.0005
Genetically modified organism,0.0039,0.0054,0.0038,0.0025,0.0026,0.0035,0.0034,0.0038,0.0056,0.0085,0.0122,0.0115,0.0103,0.0116,0.0080,0.0069
Abortion-rights movement,0.0039,0.0036,0.0050,0.0021,0.0016,0.0032,0.0009,0.0015,0.0023,0.0010,0.0013,0.0011,0.0008,0.0013,0.0010,0.0041
Flag desecration,0.0039,0.0027,0.0000,0.0000,0.0000,0.0012,0.0000,0.0006,0.0004,0.0004,0.0000,0.0003,0.0002,0.0004,0.0002,0.0004
Biden,0.0000,0.0000,0.0018,0.0046,0.0030,0.0171,0.0143,0.0166,0.0159,0.0353,0.0317,0.0292,0.0384,0.0130,0.0048,0.0128
ICE,0.0000,0.0045,0.0032,0.0061,0.0039,0.0047,0.0041,0.0064,0.0046,0.0041,0.0047,0.0028,0.0046,0.0118,0.0106,0.0476
Romney,0.0000,0.0000,0.0021,0.0070,0.0840,0.0012,0.0036,0.0027,0.0966,0.0088,0.0089,0.0112,0.0044,0.0021,0.0028,0.0346
Scott Kelly,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0006,0.0000,0.0003,0.0000,0.0142,0.0004,0.0003,0.0005,0.0004
John Boehner,0.0000,0.0000,0.0023,0.0013,0.0000,0.0019,0.0080,0.0571,0.0306,0.0479,0.0717,0.0661,0.0080,0.0015,0.0011,0.0030
