entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Petraeus,0.0000,0.0000,0.0000,0.0055,0.0012,0.0009,0.0010,0.0011,0.0006,0.0010,0.0007,0.0007,0.0004,0.0003,0.0000,0.0004
Putin,0.0000,0.0045,0.0070,0.0013,0.0016,0.0021,0.0013,0.0027,0.0020,0.0021,0.0054,0.0068,0.0077,0.0098,0.0069,0.0074
West Bank,0.0000,0.0000,0.0018,0.0021,0.0011,0.0007,0.0008,0.0010,0.0005,0.0005,0.0007,0.0005,0.0005,0.0010,0.0008,0.0005
Steve Beshear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0011,0.0000,0.0000,0.0264,0.0003,0.0007
Gulf States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0005,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001
Trans-Pacific Partnership,0.0000,0.0027,0.0000,0.0013,0.0000,0.0017,0.0013,0.0010,0.0005,0.0009,0.0038,0.0021,0.0090,0.0033,0.0016,0.0007
Oak Ridge National Laboratory,0.0000,0.0000,0.0000,0.0000,0.0009,0.0011,0.0010,0.0010,0.0003,0.0006,0.0003,0.0007,0.0003,0.0002,0.0002,0.0001
Sana'a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Race to the Top,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0114,0.0008,0.0008,0.0006,0.0000,0.0000,0.0000,0.0000,0.0001
Golden Mosque of Samarra,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Simpson-Bowles Commission,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0018,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sandra Day O'Connor,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0006,0.0000,0.0003,0.0004,0.0004,0.0003,0.0005,0.0006,0.0005,0.0007
Ramallah,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0003,0.0007,0.0003,0.0006,0.0002,0.0002,0.0002,0.0002
Secretary of Health and Human Services,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0004,0.0003,0.0005,0.0005,0.0003,0.0004,0.0004,0.0009,0.0013
Richard Cordray,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
National Academy of Sciences,0.0000,0.0027,0.0000,0.0000,0.0000,0.0007,0.0009,0.0006,0.0007,0.0004,0.0003,0.0003,0.0003,0.0009,0.0002,0.0001
Millennium Challenge Account,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
American Competitiveness Initiative,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Paycheck Fairness Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Riyadh,0.0000,0.0027,0.0000,0.0017,0.0010,0.0011,0.0059,0.0021,0.0015,0.0014,0.0018,0.0014,0.0010,0.0010,0.0011,0.0009
Ba'athist,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qadhafi,0.0000,0.0000,0.0018,0.0000,0.0010,0.0007,0.0009,0.0010,0.0061,0.0016,0.0012,0.0008,0.0014,0.0010,0.0006,0.0011
Doha,0.0000,0.0000,0.0021,0.0017,0.0014,0.0016,0.0025,0.0017,0.0019,0.0021,0.0014,0.0022,0.0020,0.0017,0.0014,0.0016
Bob Dole,0.0000,0.0027,0.0026,0.0017,0.0048,0.0000,0.0006,0.0007,0.0005,0.0006,0.0003,0.0008,0.0005,0.0004,0.0006,0.0016
Neil Gorsuch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0000,0.0000,0.0003,0.0074,0.0034,0.0022
Rangoon,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0005,0.0005,0.0005,0.0005,0.0007,0.0004,0.0002,0.0003
Forsyth Tech,0.0000,0.0000,0.0035,0.0013,0.0020,0.0014,0.0008,0.0022,0.0010,0.0008,0.0015,0.0010,0.0008,0.0007,0.0006,0.0003
Bruce Randolph,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Omaha Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0004,0.0003,0.0005,0.0003,0.0003,0.0003,0.0003,0.0006
American Jobs Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0004,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mazda,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Maureen Scalia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
National Export Initiative,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Information Age,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0010,0.0005,0.0005,0.0007,0.0005,0.0002,0.0005,0.0006,0.0003
New London,0.0000,0.0049,0.0050,0.0051,0.0040,0.0046,0.0040,0.0044,0.0037,0.0031,0.0033,0.0037,0.0037,0.0032,0.0035,0.0019
Superstorm Sandy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0027,0.0017,0.0011,0.0009,0.0008,0.0005
Selma,0.0000,0.0000,0.0000,0.0019,0.0016,0.0016,0.0015,0.0017,0.0017,0.0014,0.0016,0.0064,0.0021,0.0032,0.0027,0.0018
Nuclear Security Summit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Andrews Air Force Base,0.0000,0.0000,0.0000,0.0013,0.0010,0.0000,0.0007,0.0009,0.0010,0.0006,0.0010,0.0005,0.0008,0.0007,0.0007,0.0004
Hadiya Pendleton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000
Sara Jo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
North Miami,0.0000,0.0027,0.0023,0.0025,0.0020,0.0015,0.0019,0.0017,0.0024,0.0022,0.0027,0.0024,0.0030,0.0021,0.0025,0.0015
Galesburg,0.0000,0.0000,0.0032,0.0017,0.0014,0.0017,0.0025,0.0022,0.0026,0.0024,0.0015,0.0023,0.0027,0.0023,0.0024,0.0023
Greensburg,0.0000,0.0000,0.0000,0.0000,0.0011,0.0010,0.0008,0.0004,0.0000,0.0000,0.0003,0.0003,0.0003,0.0002,0.0002,0.0001
Independence,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0007,0.0003,0.0006,0.0006,0.0005,0.0006,0.0012,0.0007,0.0004
Darfur,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vocational Schools,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0010,0.0005,0.0003,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0001
Parental Leave,0.0000,0.0036,0.0000,0.0019,0.0027,0.0020,0.0037,0.0019,0.0026,0.0027,0.0037,0.0052,0.0047,0.0050,0.0052,0.0139
coal mining (industry),0.0000,0.0054,0.0067,0.0025,0.0020,0.0020,0.0021,0.0027,0.0035,0.0019,0.0019,0.0020,0.0022,0.0045,0.0030,0.0023
Tax Cuts of 2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trade deficit,0.0000,0.0027,0.0000,0.0013,0.0012,0.0012,0.0014,0.0011,0.0013,0.0011,0.0006,0.0006,0.0010,0.0017,0.0014,0.0022
gun violence,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0008,0.0003,0.0048,0.0012,0.0005,0.0025,0.0017,0.0010,0.0022
Clean Power Plan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0002,0.0000,0.0000
Elementary and Secondary Education Act,0.0000,0.0045,0.0018,0.0017,0.0019,0.0020,0.0016,0.0024,0.0013,0.0014,0.0011,0.0016,0.0015,0.0017,0.0016,0.0010
Higher Education Act of 1965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001
Immigration Policy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0009,0.0007,0.0006,0.0004,0.0004,0.0015,0.0013,0.0010
Middle Class,0.0000,0.0040,0.0023,0.0017,0.0036,0.0033,0.0050,0.0020,0.0062,0.0063,0.0044,0.0188,0.0036,0.0063,0.0054,0.0202
Common core,0.0000,0.0036,0.0026,0.0030,0.0022,0.0026,0.0027,0.0047,0.0095,0.0203,0.0285,0.0287,0.0240,0.0168,0.0149,0.0112
Hydraulic fracturing,0.0000,0.0000,0.0000,0.0013,0.0000,0.0007,0.0013,0.0022,0.0089,0.0092,0.0085,0.0079,0.0043,0.0054,0.0032,0.0030
Net neutrality,0.0000,0.0000,0.0000,0.0013,0.0009,0.0007,0.0010,0.0022,0.0003,0.0003,0.0025,0.0035,0.0004,0.0018,0.0078,0.0010
Sick leave,0.0000,0.0000,0.0000,0.0017,0.0017,0.0017,0.0018,0.0025,0.0018,0.0026,0.0028,0.0055,0.0043,0.0039,0.0056,0.0029
Executive Order 13769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0080,0.0019,0.0008
Whistleblower,0.0000,0.0036,0.0029,0.0019,0.0014,0.0026,0.0015,0.0013,0.0024,0.0022,0.0018,0.0020,0.0016,0.0024,0.0020,0.0016
Edward Snowden,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0027,0.0020,0.0038,0.0014,0.0020
Student loans in the United States,0.0000,0.0000,0.0000,0.0013,0.0016,0.0016,0.0016,0.0014,0.0023,0.0011,0.0015,0.0014,0.0014,0.0009,0.0007,0.0009
Gerrymandering,0.0000,0.0000,0.0000,0.0000,0.0009,0.0007,0.0007,0.0008,0.0007,0.0013,0.0014,0.0012,0.0041,0.0042,0.0030,0.0020
Body worn video,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0013,0.0010,0.0011,0.0015
Syrian civil war,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0011,0.0020,0.0010,0.0017,0.0021,0.0011,0.0011
Military budget,0.0000,0.0000,0.0000,0.0000,0.0012,0.0019,0.0014,0.0020,0.0014,0.0016,0.0009,0.0013,0.0015,0.0060,0.0018,0.0038
Sanctuary cities,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0019,0.0009,0.0009
Gender identity,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0008,0.0007,0.0008,0.0011,0.0005,0.0007,0.0005,0.0014,0.0008,0.0010
Eminent domain,0.0000,0.0036,0.0053,0.0013,0.0010,0.0009,0.0015,0.0015,0.0009,0.0013,0.0008,0.0016,0.0009,0.0014,0.0010,0.0013
Voter turnout,0.0000,0.0036,0.0000,0.0013,0.0017,0.0009,0.0000,0.0006,0.0007,0.0004,0.0006,0.0008,0.0005,0.0007,0.0007,0.0008
Freedom of religion,0.0000,0.0000,0.0023,0.0015,0.0009,0.0011,0.0009,0.0013,0.0014,0.0010,0.0018,0.0013,0.0014,0.0011,0.0017,0.0011
Basic income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0002,0.0003,0.0004,0.0005
War in Afghanistan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0021,0.0022,0.0019,0.0018,0.0012,0.0011,0.0007,0.0008,0.0010,0.0020
Solitary confinement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0005,0.0006,0.0003,0.0005,0.0005,0.0006,0.0007,0.0004
Dream act,0.0000,0.0000,0.0000,0.0000,0.0012,0.0009,0.0010,0.0052,0.0038,0.0031,0.0024,0.0020,0.0015,0.0042,0.0174,0.0015
Equal pay for equal work,0.0000,0.0000,0.0018,0.0000,0.0011,0.0016,0.0007,0.0006,0.0009,0.0019,0.0025,0.0023,0.0010,0.0011,0.0009,0.0012
Safe spaces,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0000,0.0000,0.0004,0.0008,0.0008,0.0004
Paris Agreement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0005,0.0010,0.0009
Vaccine controversies,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0006,0.0005,0.0006,0.0003,0.0006,0.0024
Chelsea Manning,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0006,0.0017,0.0014,0.0006,0.0017,0.0006,0.0004,0.0006,0.0018,0.0004
Alternative energy,0.0000,0.0036,0.0103,0.0034,0.0040,0.0041,0.0025,0.0015,0.0017,0.0012,0.0012,0.0012,0.0008,0.0010,0.0008,0.0005
Offshore bank,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0006,0.0008,0.0003,0.0006,0.0000,0.0005,0.0003,0.0000,0.0002
Mexico-United States barrier,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0009,0.0173
Political corruption,0.0000,0.0000,0.0000,0.0000,0.0009,0.0012,0.0010,0.0020,0.0006,0.0008,0.0006,0.0005,0.0008,0.0007,0.0006,0.0009
Drug policy,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0006,0.0011,0.0006,0.0004,0.0004,0.0005,0.0005,0.0002,0.0003,0.0003
Joint Comprehensive Plan of Action (Iran Deal),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0003,0.0007
Voting age,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0006,0.0007,0.0005,0.0004,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005
Term limits in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0008,0.0003,0.0004,0.0003,0.0004,0.0003,0.0003,0.0008
LGBT rights,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0006,0.0000,0.0004,0.0005,0.0004,0.0003,0.0004,0.0005,0.0000,0.0002
Electoral fraud,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0007,0.0007,0.0009,0.0005,0.0004,0.0005,0.0004,0.0010
Offshore drilling,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0016,0.0008,0.0012,0.0000,0.0005,0.0000,0.0002,0.0004,0.0005,0.0007
Prescription costs,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0003,0.0003
Agricultural subsidies,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0008,0.0004,0.0003,0.0007,0.0005,0.0000,0.0002,0.0000,0.0002
Labor Unions in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002
2003 Invasion of Iraq,0.0000,0.0000,0.0000,0.0013,0.0010,0.0010,0.0000,0.0006,0.0005,0.0006,0.0004,0.0005,0.0003,0.0004,0.0003,0.0003
Drug testing welfare recipients,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0010,0.0004,0.0006,0.0003,0.0004,0.0003,0.0002,0.0001
Campus sexual assault,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0003,0.0000,0.0001
PRISM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0001
Economic stimulus,0.0000,0.0000,0.0000,0.0000,0.0180,0.0612,0.0049,0.0017,0.0008,0.0004,0.0004,0.0000,0.0002,0.0006,0.0004,0.0001
No fly list,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001
Russian military action in Syria,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0003,0.0000,0.0001
Women in combat,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0003,0.0013,0.0003,0.0000,0.0003,0.0002,0.0000,0.0001
Prison overcrowding,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,0.0000,0.0001
LGBT adoption rights,0.0000,0.0000,0.0000,0.0000,0.0009,0.0010,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
Dakota Access pipeline,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0002,0.0001
U.S. national anthem protests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Israel boycott,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0002,0.0000,0.0000,0.0003
North Korea and weapons of mass destruction,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Single-payer healthcare,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gender workplace diversity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Transgender people in the military,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Women's health,0.0000,0.0049,0.0035,0.0021,0.0033,0.0019,0.0015,0.0022,0.0031,0.0022,0.0026,0.0019,0.0066,0.0071,0.0056,0.0029
Maternity leave in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Legal history of cannabis in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Welfare,0.0000,0.0000,0.0018,0.0027,0.0016,0.0030,0.0038,0.0017,0.0025,0.0017,0.0014,0.0017,0.0019,0.0018,0.0020,0.0018
DACA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0019,0.0039,0.0029,0.0089,0.0511,0.0142
Private Prisons,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0005,0.0005,0.0005,0.0000,0.0003,0.0014,0.0007,0.0005
Electronic Classroom of Tomorrow,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0004,0.0005,0.0006,0.0006,0.0009,0.0006,0.0006,0.0000
Right to work,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0006,0.0043,0.0008,0.0006,0.0005,0.0008,0.0007,0.0005,0.0004
Russian interference in the 2016 United States elections,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Child tax credit,0.0085,0.0048,0.0028,0.0032,0.0044,0.0034,0.0060,0.0050,0.0054,0.0052,0.0040,0.0083,0.0056,0.0050,0.0071,0.0431
Natural gas,0.0131,0.0124,0.0126,0.0135,0.0125,0.0112,0.0143,0.0132,0.0091,0.0128,0.0132,0.0122,0.0132,0.0066,0.0077,0.0223
United States farm bill,0.0000,0.0000,0.0000,0.0000,0.0010,0.0008,0.0000,0.0004,0.0000,0.0003,0.0010,0.0005,0.0003,0.0000,0.0000,0.0024
Criminal justice,0.0085,0.0162,0.0079,0.0067,0.0059,0.0079,0.0095,0.0082,0.0055,0.0063,0.0084,0.0097,0.0089,0.0060,0.0049,0.0155
FIRST STEP Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
First Step Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Human trafficking,0.0000,0.0047,0.0028,0.0032,0.0021,0.0045,0.0061,0.0047,0.0026,0.0042,0.0065,0.0061,0.0073,0.0058,0.0065,0.0220
United StatesMexicoCanada Agreement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
School choice,0.0000,0.0000,0.0000,0.0000,0.0016,0.0009,0.0010,0.0006,0.0012,0.0007,0.0012,0.0015,0.0012,0.0011,0.0009,0.0269
Paid Family Leave,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0006,0.0006,0.0000,0.0008,0.0009,0.0008,0.0008,0.0004,0.0009,0.0077
Antisemitism,0.0066,0.0043,0.0000,0.0019,0.0023,0.0017,0.0022,0.0017,0.0014,0.0016,0.0032,0.0037,0.0034,0.0046,0.0023,0.0305
